time	current
51900.0	5.583135127
51960.0	5.4962956337
52020.0	5.6678516632
52080.0	5.6081158546
52140.0	5.6756598293
52200.0	5.7433262561
52260.0	5.6915406658
52320.0	5.708835245
52380.0	5.8277941858
52440.0	6.1549882632
52500.0	5.900261761
52560.0	6.4069621243
52620.0	6.2003479524
52680.0	5.9007944305
52740.0	5.8089133735
52800.0	5.9338592312
52860.0	6.0552232302
52920.0	6.2088306934
52980.0	5.830831715
53040.0	5.5751092803
53100.0	6.0285407116
53160.0	5.8754471009
53220.0	5.8868633473
53280.0	5.9132106863
53340.0	5.7980830506
53400.0	6.2126882485
53460.0	6.0604882968
53520.0	6.045279518
53580.0	6.326663364
53640.0	6.3064360577
53700.0	6.1942081899
53760.0	6.1375274777
53820.0	6.0280516811
53880.0	6.3688837904
53940.0	6.2333325036
54000.0	5.9913091057
54060.0	6.1054817256
54120.0	6.1983507325
54180.0	5.969158461
54240.0	6.2955950923
54300.0	6.2262667953
54360.0	5.9885742712
54420.0	5.8083103088
54480.0	6.1121254785
54540.0	6.2853364518
54600.0	6.3392854968
54660.0	5.7828522653
54720.0	5.9437657935
54780.0	5.9644125738
54840.0	6.3044657794
54900.0	6.0751540616
54960.0	6.1762382328
55020.0	6.0840578336
55080.0	6.1740838448
55140.0	5.7586850335
55200.0	5.5846144423
55260.0	6.1335301628
55320.0	5.9313532598
55380.0	5.9813192565
55440.0	5.9669978132
55500.0	5.8391093511
55560.0	6.1283416422
55620.0	6.1784633498
55680.0	5.5248857475
55740.0	5.4619319091
55800.0	5.4015241333
55860.0	5.8149107703
55920.0	5.8981636732
55980.0	5.9663448922
56040.0	6.1363072154
56100.0	5.9381131282
56160.0	5.961982622
56220.0	5.832086267
56280.0	5.6381370399
56340.0	5.9208615125
56400.0	6.0267566095
56460.0	6.1758347075
56520.0	5.6777011214
56580.0	5.4853282543
56640.0	5.8207738491
56700.0	5.9395025903
56760.0	5.7106566275
56820.0	5.9145385698
56880.0	5.8542125565
